product_name,category,mrp,manufacturer,manufacturing_date,expiry_date,net_quantity,customer_care,importer,country_of_origin,fssai_license,label_status,compliance,missing_fields,risk_level,compliance_score
Unknown Shampoo,Cosmetics,150,,2025-02,2027-02,200ml,,N/A,,Invalid,0,"Manufacturer,Customer Care,Country of Origin",High,25,
Loose Spice Mix,Food,30,Local Vendor,,,250g,,N/A,India,Invalid,0,"Manufacturing Date,Expiry Date,Customer Care",High,37,
Imported Chocolate,Food,250,Choco Corp,,2026-06,100g,,Fancy Imports Ltd,Belgium,Invalid,0,"Manufacturing Date,Customer Care",Medium,50,
Unbranded Soap,FMCG,15,,,,75g,,N/A,,Invalid,0,"Manufacturer,Manufacturing Date,Expiry Date,Customer Care,Country of Origin",Critical,0,
Saffola Gold Oil,Food,199,Marico Ltd,2025-03,2026-09,1L,1800-225-5353,N/A,India,Valid,1,,Low,100,
Real Fruit Juice,Food,99,Dabur India Ltd,2025-04,2026-04,1L,1800-103-1644,N/A,India,Valid,1,,Low,100,
Patanjali Dant Kanti,FMCG,60,Patanjali Ayurved Ltd,2025-02,2027-08,100g,1860-180-0011,N/A,India,Valid,1,,Low,100,
Godrej No.1 Soap,FMCG,38,Godrej Consumer Products Ltd,2025-01,2028-01,100g,1800-209-5858,N/A,India,Valid,1,,Low,100,
Vim Dishwash Bar,FMCG,10,Hindustan Unilever Ltd,2025-03,2027-03,145g,1800-102-2221,N/A,India,Valid,1,,Low,100,
Clinic Plus Shampoo,FMCG,2,Hindustan Unilever Ltd,2025-04,2027-04,6ml,1800-102-2221,N/A,India,Valid,1,,Low,100,
Closeup Toothpaste,FMCG,55,Hindustan Unilever Ltd,2025-02,2027-08,150g,1800-102-2221,N/A,India,Valid,1,,Low,100,
Lifebuoy Soap,FMCG,35,Hindustan Unilever Ltd,2025-03,2028-03,100g,1800-102-2221,N/A,India,Valid,1,,Low,100,
Sunfeast Dark Fantasy,Food,40,ITC Ltd,2025-01,2026-01,75g,1800-419-8899,N/A,India,Valid,1,,Low,100,
Cadbury Dairy Milk,Food,50,Mondelez India Foods Pvt Ltd,2025-04,2026-04,52g,1800-226-7886,N/A,India,Valid,1,,Low,100,
Red Label Tea,Food,155,Hindustan Unilever Ltd,2025-02,2027-02,500g,1800-102-2221,N/A,India,Valid,1,,Low,100,
Tata Sampann Turmeric,Food,69,Tata Consumer Products Ltd,2025-03,2027-03,100g,1800-209-8080,N/A,India,Valid,1,,Low,100,
Catch Sprinklers Salt,Food,30,DS Group,2025-01,2027-01,200g,011-23510591,N/A,India,Valid,1,,Low,100,
Lijjat Papad,Food,55,Shri Mahila Griha Udyog Lijjat Papad,2025-04,2026-04,200g,022-24461614,N/A,India,Valid,1,,Low,100,
Everest Garam Masala,Food,95,Everest Food Products Pvt Ltd,2025-02,2027-02,100g,022-28764104,N/A,India,Valid,1,,Low,100,
Paper Boat Aamras,Food,30,Hector Beverages Pvt Ltd,2025-03,2026-03,200ml,080-49559555,N/A,India,Valid,1,,Low,100,
Pepsi,Food,40,PepsiCo India Holdings Pvt Ltd,2025-04,2025-10,750ml,1800-120-8999,N/A,India,Valid,1,,Low,100,
Coca-Cola,Food,40,Hindustan Coca-Cola Beverages Pvt Ltd,2025-03,2025-09,750ml,1800-208-2653,N/A,India,Valid,1,,Low,100,
Frooti Mango Drink,Food,10,Parle Agro Pvt Ltd,2025-01,2026-01,200ml,022-66916911,N/A,India,Valid,1,,Low,100,
Horlicks Health Drink,Food,399,Hindustan Unilever Ltd,2025-02,2026-08,500g,1800-102-2221,N/A,India,Valid,1,,Low,100,
Nescafe Classic Coffee,Food,225,Nestle India Ltd,2025-03,2027-03,100g,1800-103-1947,N/A,India,Valid,1,,Low,100,
Head Shoulders Shampoo,FMCG,250,Procter and Gamble India Pvt Ltd,2025-01,2027-01,340ml,1800-102-4040,N/A,India,Valid,1,,Low,100,
Gillette Mach3 Razor,FMCG,350,Procter and Gamble India Pvt Ltd,2025-04,2028-04,1pc,1800-102-4040,N/A,India,Valid,1,,Low,100,
Whisper Ultra Clean,FMCG,75,Procter and Gamble India Pvt Ltd,2025-02,2027-02,8pcs,1800-102-4040,N/A,India,Valid,1,,Low,100,
Nivea Body Lotion,Cosmetics,299,Nivea India Pvt Ltd,2025-03,2027-09,400ml,1800-103-6222,Beiersdorf AG,Germany,Valid,1,,Low,100,
Vaseline Body Lotion,Cosmetics,275,Hindustan Unilever Ltd,2025-01,2027-07,400ml,1800-102-2221,N/A,India,Valid,1,,Low,100,
Ponds Face Cream,Cosmetics,175,Hindustan Unilever Ltd,2025-04,2027-10,100g,1800-102-2221,N/A,India,Valid,1,,Low,100,
Fair Lovely Cream,Cosmetics,99,Hindustan Unilever Ltd,2025-02,2027-08,50g,1800-102-2221,N/A,India,Valid,1,,Low,100,
Garnier Men Face Wash,Cosmetics,199,Loreal India Pvt Ltd,2025-03,2027-09,100g,1800-103-5353,Loreal SA France,France,Valid,1,,Low,100,
Wild Stone Deo,Cosmetics,225,McNroe Consumer Products Pvt Ltd,2025-01,2027-07,150ml,1800-103-3566,N/A,India,Valid,1,,Low,100,
Park Avenue Deo,Cosmetics,199,Raymond Consumer Care Ltd,2025-04,2027-10,150ml,022-67668000,N/A,India,Valid,1,,Low,100,
Bajaj Almond Drops,Cosmetics,120,Bajaj Consumer Care Ltd,2025-02,2027-08,200ml,1800-116-116,N/A,India,Valid,1,,Low,100,
Dove Shampoo,FMCG,230,Hindustan Unilever Ltd,2025-03,2027-03,340ml,1800-102-2221,N/A,India,Valid,1,,Low,100,
Pantene Shampoo,FMCG,220,Procter and Gamble India Pvt Ltd,2025-01,2027-01,340ml,1800-102-4040,N/A,India,Valid,1,,Low,100,
Vim Liquid Dishwash,FMCG,119,Hindustan Unilever Ltd,2025-04,2027-04,500ml,1800-102-2221,N/A,India,Valid,1,,Low,100,
Harpic Toilet Cleaner,FMCG,85,Reckitt Benckiser India Pvt Ltd,2025-02,2027-08,500ml,0124-3988700,N/A,India,Valid,1,,Low,100,
Lizol Floor Cleaner,FMCG,140,Reckitt Benckiser India Pvt Ltd,2025-03,2027-09,500ml,0124-3988700,N/A,India,Valid,1,,Low,100,
Good Knight Liquid,FMCG,75,Godrej Consumer Products Ltd,2025-01,2028-01,45ml,1800-209-5858,N/A,India,Valid,1,,Low,100,
All Out Liquid,FMCG,69,SC Johnson Products Pvt Ltd,2025-04,2028-04,45ml,1800-102-5522,N/A,India,Valid,1,,Low,100,
Ariel Detergent,FMCG,249,Procter and Gamble India Pvt Ltd,2025-02,2028-02,1kg,1800-102-4040,N/A,India,Valid,1,,Low,100,
Tide Detergent,FMCG,145,Procter and Gamble India Pvt Ltd,2025-03,2028-03,1kg,1800-102-4040,N/A,India,Valid,1,,Low,100,
Rin Detergent,FMCG,99,Hindustan Unilever Ltd,2025-01,2028-01,1kg,1800-102-2221,N/A,India,Valid,1,,Low,100,
Comfort Fabric Conditioner,FMCG,135,Hindustan Unilever Ltd,2025-04,2027-10,200ml,1800-102-2221,N/A,India,Valid,1,,Low,100,
Ujala Liquid,FMCG,55,Jyothy Labs Ltd,2025-02,2027-08,125ml,1800-425-3553,N/A,India,Valid,1,,Low,100,
Pedigree Dog Food,Pet Care,350,Mars International India Pvt Ltd,2025-03,2026-09,1.2kg,1800-258-5858,Mars Inc USA,USA,Valid,1,,Low,100,
Whiskas Cat Food,Pet Care,85,Mars International India Pvt Ltd,2025-01,2026-07,85g,1800-258-5858,Mars Inc USA,USA,Valid,1,,Low,100,
Duracell AA Battery,Electronics,130,Duracell India Pvt Ltd,2025-04,2030-04,4pcs,1800-103-5565,Procter and Gamble USA,USA,Valid,1,,Low,100,
Eveready Battery,Electronics,55,Eveready Industries India Ltd,2025-02,2030-02,4pcs,033-22880763,N/A,India,Valid,1,,Low,100,
Cello Pens,Stationery,10,Cello Writing Instruments,2025-03,,1pc,022-40287777,N/A,India,Valid,1,,Low,95,
Reynolds Pen,Stationery,5,Reynolds Pens India,2025-01,,1pc,022-62507777,N/A,India,Valid,1,,Low,95,
Scotch Brite Scrub Pad,FMCG,30,3M India Ltd,2025-04,2027-04,1pc,1800-425-3333,3M USA,USA,Valid,1,,Low,100,
Fevicol Adhesive,FMCG,60,Pidilite Industries Ltd,2025-02,2028-02,200g,022-24934795,N/A,India,Valid,1,,Low,100,
Moov Pain Relief,Pharma,85,Reckitt Benckiser India Pvt Ltd,2025-03,2027-03,50g,0124-3988700,N/A,India,Valid,1,,Low,100,
Volini Spray,Pharma,225,Sun Pharma Laboratories Ltd,2025-01,2027-01,40g,1800-103-1414,N/A,India,Valid,1,,Low,100,
Crocin Pain Relief,Pharma,30,GSK Consumer Healthcare Ltd,2025-04,2027-04,15 tabs,1800-225-4357,N/A,India,Valid,1,,Low,100,
Vicks VapoRub,Pharma,95,Procter and Gamble India Pvt Ltd,2025-02,2027-08,50ml,1800-102-4040,N/A,India,Valid,1,,Low,100,
Odomos Mosquito Cream,FMCG,57,Dabur India Ltd,2025-03,2027-09,50g,1800-103-1644,N/A,India,Valid,1,,Low,100,
Old Spice Deo,Cosmetics,225,Procter and Gamble India Pvt Ltd,2025-01,2027-07,150ml,1800-102-4040,N/A,India,Valid,1,,Low,100,
Biotique Face Wash,Cosmetics,175,Bio Veda Action Research Co,2025-04,2027-10,100ml,1800-103-7707,N/A,India,Valid,1,,Low,100,
Mamaearth Shampoo,Cosmetics,349,Honasa Consumer Pvt Ltd,2025-02,2027-08,250ml,1800-266-0085,N/A,India,Valid,1,,Low,100,
WOW Skin Science Shampoo,Cosmetics,399,Fit and Glow Healthcare Pvt Ltd,2025-03,2027-09,300ml,080-46279999,N/A,India,Valid,1,,Low,100,
Fake Cream No Label,Cosmetics,,,,,,,,Unknown,Invalid,0,"MRP,Manufacturer,Manufacturing Date,Expiry Date,Net Quantity,Customer Care,Country of Origin",Critical,0,
Mystery Tablet,Pharma,10,,,,10 tabs,,N/A,,Invalid,0,"Manufacturer,Manufacturing Date,Expiry Date,Customer Care,Country of Origin",Critical,0,
Roadside Pickle,Food,25,Home Made,,,500g,,N/A,India,Invalid,0,"Manufacturing Date,Expiry Date,Customer Care",High,37,
China Phone Charger,Electronics,150,,2024-06,,1pc,,N/A,,Invalid,0,"Manufacturer,Expiry Date,Customer Care,Country of Origin",High,25,
Duplicate Perfume,Cosmetics,100,Unknown Brand,,,100ml,,N/A,,Invalid,0,"Manufacturing Date,Expiry Date,Customer Care,Country of Origin",Critical,12,
Unlabeled Ghee,Dairy,,Local Dairy,,,500ml,,N/A,India,Invalid,0,"MRP,Manufacturing Date,Expiry Date,Customer Care",High,25,
Street Juice Powder,Food,5,,2025-01,2025-06,10g,,N/A,,Invalid,0,"Manufacturer,Customer Care,Country of Origin",High,37,
Fake Honey,Food,99,,,,250g,,N/A,,Invalid,0,"Manufacturer,Manufacturing Date,Expiry Date,Customer Care,Country of Origin",Critical,0,
Pirated Earphones,Electronics,50,,,,1pc,,N/A,,Invalid,0,"Manufacturer,Manufacturing Date,Expiry Date,Customer Care,Country of Origin",Critical,0,
Ashirvaad Atta,Food,310,ITC Ltd,2025-03,2026-03,5kg,1800-419-8899,N/A,India,Valid,1,,Low,100,
Rajdhani Besan,Food,75,Rajdhani Traders,2025-02,2026-08,500g,011-23240405,N/A,India,Valid,1,,Low,100,
MDH Chana Masala,Food,60,Mahashian Di Hatti Pvt Ltd,2025-01,2027-01,100g,011-27473741,N/A,India,Valid,1,,Low,100,
Saffola Oats,Food,199,Marico Ltd,2025-04,2026-10,1kg,1800-225-5353,N/A,India,Valid,1,,Low,100,
Kelloggs Corn Flakes,Food,285,Kellogg India Pvt Ltd,2025-03,2026-09,475g,1800-225-5353,Kellogg Company USA,USA,Valid,1,,Low,100,
Quaker Oats,Food,199,PepsiCo India Holdings Pvt Ltd,2025-02,2026-08,1kg,1800-120-8999,N/A,USA,Valid,1,,Low,100,
